transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
37,03/19/2023,08:31:50,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
38,03/16/2023,13:41:20,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
39,03/14/2023,08:14:50,3,1,Amsterdam,3.0,Bakery,Scone
40,03/16/2023,14:44:26,1,2,Utrecht,3.0,Bakery,Scone
41,03/16/2023,08:34:43,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
42,03/15/2023,17:29:55,1,2,Utrecht,4.25,Coffee,Syrup coffee
43,03/18/2023,07:03:58,4,2,Utrecht,3.5,Tea,Herbal tea
44,03/18/2023,08:12:30,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
45,03/16/2023,12:29:12,3,2,Utrecht,3.5,Bakery,Pie
46,03/17/2023,09:38:33,1,3,Breda,2.0,Coffee,Black coffee
47,03/15/2023,06:26:01,1,3,Breda,2.0,Coffee,Black coffee
48,03/16/2023,09:03:03,2,1,Amsterdam,3.5,Bakery,Pie
49,03/19/2023,11:42:29,2,1,Amsterdam,3.75,Bakery,Sandwich
50,03/18/2023,11:12:35,1,1,Amsterdam,3.5,Bakery,Pie
51,03/18/2023,09:43:29,2,2,Utrecht,3.75,Bakery,Sandwich
52,03/18/2023,12:25:52,3,2,Utrecht,3.5,Coffee,Milk coffee
53,03/16/2023,16:45:36,1,2,Utrecht,3.75,Bakery,Sandwich
54,03/18/2023,15:41:55,2,2,Utrecht,4.5,Chocolate,Hot chocolate
55,03/18/2023,09:23:28,2,1,Amsterdam,4.25,Coffee,Syrup coffee
56,03/18/2023,17:44:59,3,3,Breda,4.5,Chocolate,Hot chocolate
57,03/17/2023,14:36:34,4,2,Utrecht,3.5,Bakery,Pie
58,03/19/2023,08:23:55,2,3,Breda,3.0,Bakery,Scone
59,03/17/2023,08:04:33,1,3,Breda,3.5,Tea,Herbal tea
60,03/16/2023,18:25:33,3,2,Utrecht,3.5,Tea,Herbal tea
61,03/18/2023,17:45:24,1,2,Utrecht,4.5,Chocolate,Hot chocolate
62,03/17/2023,09:47:11,4,2,Utrecht,3.0,Tea,Black tea
63,03/16/2023,17:07:53,1,2,Utrecht,6.3,Coffee,Organic blended coffee
64,03/19/2023,08:44:40,1,1,Amsterdam,3.25,Tea,Chai tea
65,03/18/2023,09:56:53,1,3,Breda,2.0,Coffee,Black coffee
66,03/16/2023,08:37:43,2,3,Breda,3.5,Bakery,Pie
67,03/14/2023,19:55:28,2,2,Utrecht,3.25,Tea,Chai tea
68,03/19/2023,16:56:40,2,2,Utrecht,4.5,Chocolate,Hot chocolate
69,03/17/2023,,2,2,Utrecht,4.5,Chocolate,Hot chocolate
70,03/19/2023,08:12:41,4,2,Utrecht,3.0,Bakery,Scone
71,03/15/2023,17:35:03,4,2,Utrecht,4.5,Chocolate,Hot chocolate
72,03/17/2023,08:35:41,1,2,Utrecht,3.5,Tea,Herbal tea
73,03/18/2023,08:41:23,2,3,Breda,4.5,Chocolate,Hot chocolate
74,03/18/2023,12:44:18,1,1,Amsterdam,3.25,Tea,Chai tea
75,03/18/2023,14:58:53,1,2,Utrecht,3.5,Bakery,Pie
76,03/15/2023,08:35:52,6,3,Breda,3.0,Bakery,Scone
77,03/15/2023,10:34:13,1,1,Amsterdam,3.5,Coffee,Milk coffee
78,03/18/2023,06:36:38,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
79,03/13/2023,17:41:39,2,2,Utrecht,4.25,Coffee,Syrup coffee
80,03/18/2023,11:25:37,1,2,Utrecht,4.5,Chocolate,Hot chocolate
81,03/19/2023,14:55:31,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
82,03/16/2023,11:44:38,1,2,Utrecht,3.5,Bakery,Pie
83,03/14/2023,14:21:49,2,3,Breda,3.5,Tea,Herbal tea
84,03/15/2023,11:37:33,2,2,Utrecht,4.5,Chocolate,Hot chocolate
85,03/13/2023,18:45:08,2,1,Amsterdam,2.0,Coffee,Black coffee
86,03/14/2023,14:55:48,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
87,03/17/2023,14:55:44,4,1,Amsterdam,4.5,Chocolate,Hot chocolate
88,03/14/2023,15:27:56,2,1,Amsterdam,4.25,Coffee,Syrup coffee
89,03/18/2023,08:00:31,1,2,Utrecht,2.0,Coffee,Black coffee
90,03/17/2023,18:46:10,1,3,Breda,6.3,Coffee,Organic blended coffee
91,03/19/2023,13:02:42,3,1,Amsterdam,3.5,Tea,Herbal tea
92,03/16/2023,11:04:34,2,1,Amsterdam,3.5,Tea,Herbal tea
93,03/18/2023,10:10:45,1,2,Utrecht,4.5,Chocolate,Hot chocolate
94,03/17/2023,16:31:11,1,2,Utrecht,4.5,Chocolate,Hot chocolate
95,03/19/2023,10:48:39,1,3,Breda,4.25,Coffee,Syrup coffee
96,03/18/2023,06:55:32,1,2,Utrecht,3.25,Tea,Chai tea
97,03/15/2023,10:08:09,4,3,Breda,4.5,Chocolate,Hot chocolate
98,03/17/2023,08:47:12,1,2,Utrecht,3.0,Bakery,Scone
99,03/17/2023,10:41:41,2,1,Amsterdam,3.25,Tea,Chai tea
100,03/15/2023,12:07:51,1,3,Breda,3.15,Tea,Green tea
101,03/14/2023,08:32:42,2,2,Utrecht,3.0,Tea,Black tea
102,03/17/2023,14:57:48,2,3,Breda,3.75,Bakery,Sandwich
103,03/13/2023,09:08:29,1,2,Utrecht,2.0,Coffee,Black coffee
104,03/19/2023,16:44:50,2,3,Breda,3.0,Bakery,Scone
105,03/17/2023,18:53:50,4,2,Utrecht,3.0,Tea,Black tea
106,03/17/2023,10:04:45,1,3,Breda,3.5,Tea,Herbal tea
107,03/18/2023,14:31:46,3,1,Amsterdam,3.25,Tea,Chai tea
108,03/13/2023,10:58:48,2,2,Utrecht,3.5,Coffee,Milk coffee
109,03/16/2023,08:29:08,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
110,03/18/2023,12:00:20,2,1,Amsterdam,3.5,Coffee,Milk coffee
111,03/15/2023,12:43:28,2,2,Utrecht,3.5,Bakery,Pie
112,03/16/2023,17:02:07,1,2,Utrecht,3.5,Coffee,Milk coffee
113,03/16/2023,16:15:42,4,1,Amsterdam,4.5,Chocolate,Hot chocolate
114,03/16/2023,18:16:49,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
115,03/16/2023,12:22:33,4,1,Amsterdam,3.5,Bakery,Pie
116,03/14/2023,17:20:12,1,2,Utrecht,3.5,Coffee,Milk coffee
117,03/18/2023,14:10:36,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
118,03/17/2023,11:11:00,1,2,Utrecht,3.15,Tea,Green tea
119,03/17/2023,09:14:43,1,2,Utrecht,3.75,Bakery,Sandwich
120,03/17/2023,16:10:53,2,2,Utrecht,3.0,Tea,Black tea
121,03/13/2023,13:10:31,2,3,Breda,4.5,Chocolate,Hot chocolate
122,03/14/2023,16:59:21,2,3,Breda,4.25,Coffee,Syrup coffee
123,03/15/2023,10:02:38,3,2,Utrecht,3.25,Tea,Chai tea
124,03/13/2023,09:56:42,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
125,03/14/2023,19:18:28,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
126,03/18/2023,08:46:01,1,2,Utrecht,6.3,Coffee,Organic blended coffee
127,03/18/2023,11:36:17,6,2,Utrecht,3.15,Tea,Green tea
128,03/13/2023,09:32:56,2,3,Breda,4.5,Chocolate,Hot chocolate
129,03/17/2023,17:43:38,3,2,Utrecht,4.5,Chocolate,Hot chocolate
130,03/19/2023,07:38:24,1,2,Utrecht,3.25,Tea,Chai tea
131,03/17/2023,11:50:22,1,2,Utrecht,4.5,Chocolate,Hot chocolate
132,03/14/2023,10:33:05,2,3,Breda,4.25,Coffee,Syrup coffee
133,03/18/2023,10:16:50,1,3,Breda,4.5,Chocolate,Hot chocolate
134,03/17/2023,06:54:23,2,3,Breda,3.25,Tea,Chai tea
135,03/13/2023,12:59:16,1,2,Utrecht,3.0,Bakery,Scone
136,03/17/2023,08:01:59,2,2,Utrecht,4.5,Chocolate,Hot chocolate
137,03/19/2023,17:28:49,1,2,Utrecht,2.0,Coffee,Black coffee
138,03/18/2023,09:18:50,1,3,Breda,3.75,Bakery,Sandwich
139,03/14/2023,12:51:51,1,3,Breda,4.5,Chocolate,Hot chocolate
140,03/14/2023,11:18:41,2,2,Utrecht,3.5,Bakery,Pie
141,03/18/2023,18:17:44,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
142,03/15/2023,17:16:59,5,2,Utrecht,4.5,Chocolate,Hot chocolate
143,03/17/2023,08:46:23,1,2,Utrecht,2.0,Coffee,Black coffee
144,03/16/2023,09:47:19,2,2,Utrecht,3.5,Bakery,Pie
145,03/16/2023,09:19:03,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
146,03/14/2023,15:53:28,1,2,Utrecht,4.25,Coffee,Syrup coffee
147,03/16/2023,,2,3,Breda,3.25,Tea,Chai tea
148,03/16/2023,07:47:46,1,2,Utrecht,4.5,Chocolate,Hot chocolate
149,03/16/2023,08:07:56,4,2,Utrecht,6.3,Coffee,Organic blended coffee
150,03/16/2023,16:41:48,1,2,Utrecht,4.25,Coffee,Syrup coffee
151,03/19/2023,11:57:16,2,1,Amsterdam,3.75,Bakery,Sandwich
152,03/18/2023,14:56:38,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
153,03/19/2023,15:03:57,2,3,Breda,3.25,Tea,Chai tea
154,03/17/2023,15:52:40,4,2,Utrecht,3.5,Bakery,Pie
155,03/19/2023,18:02:49,2,2,Utrecht,3.0,Bakery,Scone
156,03/14/2023,11:28:48,2,2,Utrecht,3.5,Coffee,Milk coffee
157,03/15/2023,15:22:09,6,2,Utrecht,3.0,Bakery,Scone
158,03/17/2023,16:58:32,3,2,Utrecht,3.0,Tea,Black tea
159,03/13/2023,10:55:56,2,1,Amsterdam,2.0,Coffee,Black coffee
160,03/17/2023,17:25:12,2,2,Utrecht,3.0,Bakery,Scone
161,03/17/2023,14:10:07,3,3,Breda,2.0,Coffee,Black coffee
162,03/16/2023,08:50:18,5,3,Breda,6.3,Coffee,Organic blended coffee
163,03/15/2023,08:51:21,2,2,Utrecht,2.0,Coffee,Black coffee
164,03/15/2023,17:07:54,2,2,Utrecht,3.25,Tea,Chai tea
165,03/19/2023,06:36:30,1,3,Breda,3.25,Tea,Chai tea
166,03/18/2023,09:10:18,2,3,Breda,4.25,Coffee,Syrup coffee
167,03/18/2023,08:36:25,2,2,Utrecht,4.5,Chocolate,Hot chocolate
168,03/19/2023,13:06:18,3,1,Amsterdam,4.25,Coffee,Syrup coffee
169,03/17/2023,09:37:27,2,3,Breda,6.3,Coffee,Organic blended coffee
170,03/19/2023,09:19:05,4,,Utrecht,3.25,Tea,Chai tea
171,03/16/2023,15:04:10,1,3,Breda,3.5,Bakery,Pie
172,03/19/2023,16:27:02,2,2,Utrecht,3.75,Bakery,Sandwich
173,03/16/2023,19:20:28,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
174,03/15/2023,08:19:01,5,2,Utrecht,3.0,Bakery,Scone
175,03/17/2023,13:06:25,3,3,Breda,3.25,Tea,Chai tea
176,03/16/2023,11:15:48,2,2,Utrecht,3.5,Tea,Herbal tea
177,03/16/2023,17:51:24,1,2,Utrecht,4.5,Chocolate,Hot chocolate
178,03/16/2023,10:03:21,1,2,Utrecht,6.3,Coffee,Organic blended coffee
179,03/17/2023,19:43:35,1,2,Utrecht,4.5,Chocolate,Hot chocolate
180,03/19/2023,16:55:44,1,2,Utrecht,4.5,Chocolate,Hot chocolate
181,03/15/2023,06:59:43,1,1,Amsterdam,3.15,Tea,Green tea
182,03/15/2023,11:26:00,1,1,Amsterdam,3.5,Coffee,Milk coffee
183,03/14/2023,18:52:52,1,3,Breda,4.25,Coffee,Syrup coffee
184,03/14/2023,12:44:40,2,1,Amsterdam,3.5,Bakery,Pie
185,03/17/2023,11:42:24,1,2,Utrecht,4.5,Chocolate,Hot chocolate
186,03/17/2023,16:15:16,1,2,Utrecht,6.3,Coffee,Organic blended coffee
187,03/19/2023,08:54:05,1,1,Amsterdam,3.75,Bakery,Sandwich
188,03/15/2023,09:13:39,2,2,Utrecht,6.3,Coffee,Organic blended coffee
189,03/16/2023,17:31:11,2,2,Utrecht,4.25,Coffee,Syrup coffee
190,03/16/2023,11:48:22,2,2,Utrecht,3.0,Tea,Black tea
191,03/18/2023,19:06:29,2,3,Breda,3.5,Bakery,Pie
192,03/17/2023,10:11:15,1,2,Utrecht,4.5,Chocolate,Hot chocolate
193,03/13/2023,08:39:11,1,1,Amsterdam,3.75,Bakery,Sandwich
194,03/15/2023,12:28:51,4,2,Utrecht,3.0,Tea,Black tea
195,03/15/2023,11:29:48,2,1,Amsterdam,4.25,Coffee,Syrup coffee
196,03/18/2023,16:28:42,2,2,Utrecht,3.15,Tea,Green tea
197,03/16/2023,07:07:13,1,2,Utrecht,4.5,Chocolate,Hot chocolate
198,03/16/2023,15:32:46,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
199,03/14/2023,08:15:10,1,2,Utrecht,3.5,Tea,Herbal tea
200,03/13/2023,12:33:00,3,3,Breda,4.5,Chocolate,Hot chocolate
201,03/16/2023,14:54:17,1,1,Amsterdam,3.5,Bakery,Pie
202,03/17/2023,17:26:52,2,2,Utrecht,6.3,Coffee,Organic blended coffee
203,03/19/2023,16:01:39,1,2,Utrecht,3.0,Tea,Black tea
204,03/16/2023,15:52:50,5,3,Breda,4.5,Chocolate,Hot chocolate
205,03/17/2023,08:14:53,4,2,Utrecht,3.0,Tea,Black tea
206,03/17/2023,09:12:51,1,3,Breda,3.15,Tea,Green tea
207,03/19/2023,11:14:39,1,1,Amsterdam,4.25,Coffee,Syrup coffee
208,03/19/2023,06:08:59,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
209,03/17/2023,19:13:02,3,1,Amsterdam,2.0,Coffee,Black coffee
210,03/13/2023,11:29:02,1,2,Utrecht,3.5,Bakery,Pie
211,03/16/2023,15:21:38,1,2,Utrecht,3.15,Tea,Green tea
212,03/14/2023,08:50:38,1,1,Amsterdam,3.15,Tea,Green tea
213,03/15/2023,07:17:35,2,2,Utrecht,2.0,Coffee,Black coffee
214,03/15/2023,,1,3,Breda,3.5,Coffee,Milk coffee
215,03/17/2023,12:28:51,1,1,Amsterdam,3.5,Bakery,Pie
216,03/17/2023,09:24:21,2,2,Utrecht,3.75,Bakery,Sandwich
217,03/16/2023,14:39:41,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
218,03/18/2023,11:11:41,2,2,Utrecht,6.3,Coffee,Organic blended coffee
219,03/19/2023,10:17:24,4,2,Utrecht,3.5,Tea,Herbal tea
220,03/17/2023,08:11:09,1,2,Utrecht,3.0,Bakery,Scone
221,03/19/2023,11:10:56,2,2,Utrecht,3.75,Bakery,Sandwich
222,03/13/2023,16:17:23,2,2,Utrecht,3.15,Tea,Green tea
223,03/17/2023,13:32:35,5,1,Amsterdam,3.5,Coffee,Milk coffee
224,03/19/2023,10:17:46,2,3,Breda,3.0,Bakery,Scone
225,03/19/2023,11:40:54,2,2,Utrecht,4.5,Chocolate,Hot chocolate
226,03/19/2023,06:29:37,2,3,Breda,3.5,Tea,Herbal tea
227,03/18/2023,12:07:12,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
228,03/13/2023,11:50:47,3,1,Amsterdam,6.3,Coffee,Organic blended coffee
229,03/19/2023,11:41:03,1,2,Utrecht,4.5,Chocolate,Hot chocolate
230,03/18/2023,14:39:42,3,1,Amsterdam,3.0,Bakery,Scone
231,03/18/2023,14:48:54,1,2,Utrecht,3.25,Tea,Chai tea
232,03/19/2023,07:01:25,1,2,Utrecht,3.0,Tea,Black tea
233,03/18/2023,09:13:23,2,3,Breda,6.3,Coffee,Organic blended coffee
234,03/18/2023,18:01:33,2,2,Utrecht,3.0,Bakery,Scone
235,03/18/2023,13:02:18,1,1,Amsterdam,3.5,Tea,Herbal tea
236,03/19/2023,15:52:17,1,1,Amsterdam,4.25,Coffee,Syrup coffee
237,03/16/2023,06:50:49,1,3,Breda,6.3,Coffee,Organic blended coffee
238,03/18/2023,08:34:52,4,2,Utrecht,4.5,Chocolate,Hot chocolate
239,03/18/2023,18:51:22,1,1,Amsterdam,3.0,Bakery,Scone
240,03/17/2023,06:37:05,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
241,03/18/2023,09:36:58,1,2,Utrecht,3.5,Bakery,Pie
242,03/14/2023,14:41:35,2,3,Breda,6.3,Coffee,Organic blended coffee
243,03/16/2023,16:51:46,2,2,Utrecht,3.0,Bakery,Scone
244,03/19/2023,14:11:58,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
245,03/15/2023,07:34:24,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
246,03/18/2023,17:10:27,2,2,Utrecht,4.5,Chocolate,Hot chocolate
247,03/19/2023,15:48:47,2,2,Utrecht,3.75,Bakery,Sandwich
248,03/15/2023,12:20:01,2,1,Amsterdam,3.75,Bakery,Sandwich
249,03/14/2023,19:42:37,5,1,Amsterdam,4.5,Chocolate,Hot chocolate
250,03/16/2023,10:29:27,2,3,Breda,4.5,Chocolate,Hot chocolate
251,03/19/2023,08:41:09,2,1,Amsterdam,4.25,Coffee,Syrup coffee
252,03/15/2023,08:49:59,1,3,Breda,3.75,Bakery,Sandwich
253,03/17/2023,09:18:32,2,3,Breda,4.5,Chocolate,Hot chocolate
254,03/18/2023,16:54:38,6,3,Breda,4.25,Coffee,Syrup coffee
255,03/13/2023,08:33:03,1,2,Utrecht,3.25,Tea,Chai tea
256,03/18/2023,12:23:32,2,1,Amsterdam,3.15,Tea,Green tea
257,03/17/2023,11:39:57,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
258,03/16/2023,07:20:54,6,1,Amsterdam,3.5,Bakery,Pie
259,03/19/2023,16:24:48,2,3,Breda,3.75,Bakery,Sandwich
260,03/17/2023,15:39:50,2,3,Breda,4.5,Chocolate,Hot chocolate
261,03/13/2023,08:54:46,2,3,Breda,3.0,Bakery,Scone
262,03/18/2023,08:10:03,3,2,Utrecht,6.3,Coffee,Organic blended coffee
263,03/16/2023,06:45:58,1,2,Utrecht,3.0,Bakery,Scone
264,03/19/2023,13:38:19,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
265,03/18/2023,11:02:16,2,3,Breda,6.3,Coffee,Organic blended coffee
266,03/15/2023,15:32:40,1,2,Utrecht,4.5,Chocolate,Hot chocolate
267,03/15/2023,16:40:54,1,2,Utrecht,3.5,Coffee,Milk coffee
268,03/15/2023,08:33:41,2,1,Amsterdam,3.5,Tea,Herbal tea
269,03/19/2023,17:12:32,2,3,Breda,3.5,Coffee,Milk coffee
270,03/13/2023,11:34:11,2,2,Utrecht,3.0,Bakery,Scone
271,03/16/2023,12:42:50,1,2,Utrecht,4.5,Chocolate,Hot chocolate
272,03/18/2023,19:53:36,1,2,Utrecht,3.75,Bakery,Sandwich
273,03/17/2023,07:03:30,2,3,Breda,4.25,Coffee,Syrup coffee
274,03/17/2023,07:12:03,1,2,Utrecht,2.0,Coffee,Black coffee
275,03/16/2023,10:29:07,1,3,Breda,3.15,Tea,Green tea
276,03/16/2023,14:03:43,4,2,Utrecht,3.15,Tea,Green tea
277,03/18/2023,08:50:04,1,3,Breda,3.5,Coffee,Milk coffee
278,03/19/2023,08:44:16,3,3,Breda,3.0,Tea,Black tea
279,03/19/2023,10:18:14,2,3,Breda,3.75,Bakery,Sandwich
280,03/16/2023,06:16:45,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
281,03/18/2023,11:31:56,1,2,Utrecht,3.0,Bakery,Scone
282,03/14/2023,08:17:30,2,1,Amsterdam,3.25,Tea,Chai tea
283,03/15/2023,14:37:24,3,2,Utrecht,4.5,Chocolate,Hot chocolate
284,03/13/2023,18:20:47,2,3,Breda,3.75,Bakery,Sandwich
285,03/13/2023,11:05:52,1,1,Amsterdam,3.5,Coffee,Milk coffee
286,03/14/2023,08:43:54,6,3,Breda,4.25,Coffee,Syrup coffee
287,03/14/2023,16:59:30,2,2,Utrecht,4.5,Chocolate,Hot chocolate
288,03/14/2023,13:43:32,1,3,Breda,3.5,Coffee,Milk coffee
289,03/14/2023,11:27:19,1,2,Utrecht,4.25,Coffee,Syrup coffee
290,03/16/2023,10:47:05,6,3,Breda,4.5,Chocolate,Hot chocolate
291,03/19/2023,08:18:19,1,3,Breda,3.5,Tea,Herbal tea
292,03/17/2023,11:54:56,1,1,Amsterdam,3.75,Bakery,Sandwich
293,03/17/2023,18:41:32,2,3,Breda,3.5,Bakery,Pie
294,03/18/2023,10:44:54,1,2,Utrecht,4.5,Chocolate,Hot chocolate
295,03/18/2023,11:05:45,2,2,Utrecht,2.0,Coffee,Black coffee
296,03/18/2023,13:55:24,1,1,Amsterdam,3.0,Bakery,Scone
297,03/18/2023,08:56:32,2,2,Utrecht,4.5,Chocolate,Hot chocolate
298,03/15/2023,,1,3,Breda,4.25,Coffee,Syrup coffee
299,03/17/2023,07:28:01,4,3,Breda,4.5,Chocolate,Hot chocolate
300,03/14/2023,19:39:13,2,,Utrecht,4.5,Chocolate,Hot chocolate
301,03/13/2023,08:02:32,4,2,Utrecht,3.5,Tea,Herbal tea
302,03/13/2023,17:08:54,1,2,Utrecht,3.0,Bakery,Scone
303,03/17/2023,08:02:17,3,1,Amsterdam,3.5,Bakery,Pie
304,03/14/2023,11:30:47,2,2,Utrecht,3.75,Bakery,Sandwich
305,03/19/2023,10:38:27,2,3,Breda,3.75,Bakery,Sandwich
306,03/18/2023,06:34:55,1,1,Amsterdam,3.5,Bakery,Pie
307,03/15/2023,17:23:54,2,2,Utrecht,3.5,Coffee,Milk coffee
308,03/16/2023,08:02:52,4,3,Breda,3.75,Bakery,Sandwich
309,03/17/2023,12:18:02,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
310,03/15/2023,09:59:27,2,2,Utrecht,3.75,Bakery,Sandwich
311,03/18/2023,15:04:41,1,2,Utrecht,3.5,Tea,Herbal tea
312,03/18/2023,13:49:56,2,1,Amsterdam,3.25,Tea,Chai tea
313,03/19/2023,11:00:03,3,2,Utrecht,3.25,Tea,Chai tea
314,03/17/2023,10:45:26,1,1,Amsterdam,3.5,Coffee,Milk coffee
315,03/16/2023,08:10:25,4,2,Utrecht,4.5,Chocolate,Hot chocolate
316,03/18/2023,18:36:00,2,3,Breda,2.0,Coffee,Black coffee
317,03/15/2023,08:39:28,2,2,Utrecht,4.5,Chocolate,Hot chocolate
318,03/17/2023,13:09:04,1,1,Amsterdam,3.5,Bakery,Pie
319,03/16/2023,16:06:00,1,2,Utrecht,3.25,Tea,Chai tea
320,03/16/2023,10:11:24,5,2,Utrecht,3.5,Tea,Herbal tea
321,03/16/2023,11:52:24,2,2,Utrecht,3.25,Tea,Chai tea
322,03/13/2023,15:59:13,2,3,Breda,4.5,Chocolate,Hot chocolate
323,03/17/2023,11:19:20,1,2,Utrecht,3.5,Coffee,Milk coffee
324,03/13/2023,13:31:51,3,2,Utrecht,3.5,Tea,Herbal tea
325,03/14/2023,17:40:31,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
326,03/14/2023,08:07:49,2,3,Breda,3.0,Bakery,Scone
327,03/17/2023,08:20:00,1,2,Utrecht,3.5,Coffee,Milk coffee
328,03/17/2023,11:26:24,2,2,Utrecht,6.3,Coffee,Organic blended coffee
329,03/15/2023,10:17:18,6,3,Breda,3.75,Bakery,Sandwich
330,03/17/2023,06:46:41,2,2,Utrecht,4.5,Chocolate,Hot chocolate
331,03/15/2023,18:05:42,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
332,03/18/2023,08:54:37,3,3,Breda,3.5,Coffee,Milk coffee
333,03/19/2023,11:19:41,6,1,Amsterdam,6.3,Coffee,Organic blended coffee
334,03/15/2023,17:56:16,4,1,Amsterdam,3.15,Tea,Green tea
335,03/19/2023,08:22:38,1,2,Utrecht,3.5,Coffee,Milk coffee
336,03/16/2023,19:37:31,6,2,Utrecht,3.75,Bakery,Sandwich
337,03/13/2023,08:51:37,2,3,Breda,3.15,Tea,Green tea
338,03/16/2023,19:03:16,2,3,Breda,3.15,Tea,Green tea
339,03/18/2023,17:37:14,2,3,Breda,3.0,Bakery,Scone
340,03/17/2023,12:37:18,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
341,03/19/2023,07:23:49,1,2,Utrecht,4.5,Chocolate,Hot chocolate
342,03/14/2023,10:22:10,4,2,Utrecht,6.3,Coffee,Organic blended coffee
343,03/18/2023,11:00:38,1,2,Utrecht,4.25,Coffee,Syrup coffee
344,03/17/2023,09:56:45,2,3,Breda,4.5,Chocolate,Hot chocolate
345,03/15/2023,07:20:24,3,1,Amsterdam,3.75,Bakery,Sandwich
